id,text
8884,斤
582,何
585,図
604,青
602,金
566,会
589,形
2740,交ぜる
7730,外交
599,学
595,走
575,羽
597,里
2803,草
578,自
2735,皮
2749,〜回
2750,回る
2751,一回
2752,今回
2620,兄
2806,体
2807,体力
2808,体内
8661,大体
2762,米
2839,谷
2754,多い
2755,多分
580,行
2814,声
2815,大声
2794,林
2804,音
603,雨
2753,毎回
2758,毎月
2759,毎日
2760,毎年
568,同
593,言
2835,角
2836,三角
2837,四角
2743,光
2744,光年
2745,月光
2746,日光
2820,弟
2821,兄弟
2772,色
2773,色々
2774,水色
2767,肉
2768,牛肉
2769,皮肉
2824,来る
2825,来月
2826,来年
2827,古来
2828,外来
2829,〜年来
8736,本来
2765,考える
2845,麦
2797,金
2798,金玉
2799,お金
2830,社内
2831,入社
2833,本社
8895,〜斤
2780,何千
2781,何
2782,何人
2783,何月
2784,何日
2785,何年
2786,何回
2756,当たる
2757,当たり
4876,本当
2741,大会
2742,会う
2834,会社
7523,会
2778,西
2779,北西
2801,青い
2802,青年
2716,仕方
7670,仕草
2813,図
2805,作る
2809,作文
2811,工作
2812,大作
2763,羽
2787,学ぶ
2788,学生
2789,学年
2790,入学
2791,工学
2792,大学
2793,休学
7568,考古学
8696,文学
2795,空気
2796,空
5935,空車
2842,近い
2843,近日
2844,近年
2800,雨
2775,行く
2777,行き
3647,里
156,首
132,歹
144,犭
608,地
627,東
640,海
137,血
212,亡
56,L
138,長
607,化
609,両
610,全
613,州
614,曲
615,有
620,京
631,知
637,思
139,食
128,刂
131,灬
143,占
3405,引き分け
135,禾
621,国
267,市
127,凵
134,未
130,ホ
174,舌
628,歩
141,マ
638,星
2717,仕方がない
626,明
634,南
9084,出社
635,室
611,向
9151,石ころ
9155,他の人
636,後
142,欠
136,羊
622,夜
3411,小文字
612,安
3439,早口
3446,年下
2601,切れる
5846,宝くじ
2661,大文字
2700,見分ける
2724,写る
129,斗
2776,行う
3442,世の中
3441,年上
3237,四十二
7671,生える
3415,冬休み
3418,出来る
3440,足りない
3444,今年
3445,代える
4378,広がる
2688,耳打ち
3443,代わり
7456,三百
7477,足す
7524,早く
7672,〜形
2747,同じ
2748,同日
2770,自分
2771,自立
2840,走る
2841,走行
2838,言う
3419,方言
630,直
643,茶
923,私
629,画
618,羊
645,首
639,活
851,亡
619,血
633,前
616,次
632,長
642,科
625,店
641,点
623,妹
617,死
644,食
2866,曲
2867,名曲
2881,国
2882,中国
2883,天国
2885,四国
2886,外国
2887,外国人
2888,米国
5633,国宝
7618,国王
624,姉
2859,安い
2860,安心
2861,不安
2862,平安
2851,両手
2852,両日
2853,両方
7482,車両
2854,全て
2855,全力
2856,全日本
2857,安全
2884,全国
2889,夜
2890,今夜
2868,有る
2869,有名
2846,文化
2910,南
2911,後ろ
2912,後で
2913,午後
8697,知る
2914,思う
7527,〜室
2918,海外
2901,歩く
7451,一歩
2895,明るい
2896,不明
7619,水星
7620,金星
7673,土星
2897,東方
2898,東北
2899,中東
2900,南東
3423,東京
3522,東
2879,血
2880,出血
2863,州
2864,九州
2865,本州
2858,方向
3496,向く
2870,次
2871,次回
2872,目次
2873,年次
2921,お茶
2922,茶色
2906,長い
2907,社長
2877,羊
2878,羊毛
2902,直す
2904,正直
2905,直行
2924,首
2925,足首
2926,首になる
8737,手首
2920,科学
3714,私
3716,私立
2908,前
2909,午前
2916,生活
3715,私生活
7674,活気
7733,活用
2874,死ぬ
2875,死体
7525,死
2893,お姉さん
7526,姉
2923,食べる
151,鳥
152,黄
667,強
153,黒
648,由
3450,作り方
146,夫
147,氏
214,門
649,札
651,辺
652,付
657,末
659,夏
9159,ナポレオン三世
8662,海王星
4877,本当に
173,勿
8738,光る
149,舟
169,周
228,己
150,魚
233,豕
7529,近く
7528,大きく
7675,〜号室
7677,見当たる
7735,小声
9010,火星
9011,木星
9042,人里
9070,〜分
646,欠
658,校
665,通
656,未
661,弱
669,理
673,雪
192,寺
419,且
177,几
418,孝
653,以
7676,大空
145,卩
655,必
3420,人形
3422,手作り
3437,言い方
3438,先回り
3449,小学生
3452,不人気
666,高
2903,直る
5717,社会
2621,お兄さん
8897,二斤
9150,内ポケット
2766,考え方
2822,形
7734,一体
3436,大学生
3451,中学生
2764,考え
3447,近々
3448,青空
6237,〜丁目
7679,活用形
7678,三角形
8896,一斤
2876,死亡
3406,亡くなる
2847,地
2848,地下
2849,土地
2850,地図
7566,草地
7732,地中
2919,点
7681,点ける
2891,姉妹
2892,妹
2894,店
672,週
662,時
660,家
671,船
654,失
2927,欠点
670,組
677,黒
676,黄
853,風
675,鳥
668,教
647,氏
650,民
663,紙
664,記
674,魚
2930,自由
2932,〜札
8800,札
2945,未だ
2946,未来
2956,弱い
2957,弱点
2935,辺り
2936,この辺
7736,辺
2943,必ず
2944,必死
2937,付ける
2951,学校
2966,通る
2967,交通
2947,末
2948,年末
2949,月末
2938,以外
2939,以上
2940,以前
8663,以下
8801,以後
2931,理由
2973,心理学
2974,地理
3709,心理
2981,雪
2950,高校
2968,高い
2952,夏
2953,夏休み
2987,黄色
2965,日記
3425,風
7567,台風
2969,強い
2970,強力
2954,家
2955,作家
2963,紙
2964,手紙
2971,教える
2972,教室
2985,鳥
2986,白鳥
2941,失う
2942,失礼
2976,船
2977,風船
7622,船体
2988,黒い
2989,黒人
2928,〜氏
2929,氏名
2958,時
2959,一時
2960,二時半
2961,何時
2962,同時
4849,時代
7461,〜時
157,ユ
158,巳
216,合
7530,向ける
163,罒
5934,明日
680,助
690,者
707,所
164,釆
682,君
683,対
689,身
704,楽
678,支
679,住
161,比
159,云
3457,この前
165,馬
170,穴
3455,長さ
706,電
573,池
705,話
7738,生地
693,森
8938,点く
8699,科目
217,匚
691,研
695,朝
700,道
7569,地中海
698,絵
701,間
3433,思い出
3453,見直す
3460,名前
3464,走り回る
3468,回す
160,殳
172,易
3465,当てる
7623,当たり前
3427,次々
3918,私立大学
3428,向こう
3434,近づく
3435,思い出す
3454,全く
3459,お知らせ
3461,出来上がる
3462,曲げる
3463,交じる
3467,化ける
855,反
703,数
3430,南米
3432,南口
3458,東口
3431,全米
4848,前回
7459,地上
7531,お前
8780,
2975,組
2934,国民
8695,町民
2978,先週
2979,今週
2980,週末
8698,来週
2982,魚
2983,金魚
2984,海魚
699,買
692,馬
687,決
702,雲
685,役
686,投
684,局
681,医
697,答
696,番
694,場
688,究
3044,朝
3045,朝ごはん
3046,朝日
7570,毎朝
2992,支える
2993,支店
2997,助ける
2998,助力
3000,助言
3030,両者
3031,作者
3032,学者
3033,工学者
